Fecha;SO2(µg/m³);NO(µg/m³);NO2(µg/m³);PM10(µg/m³);Ni(ng/m³);NOx(µg/m³);Ozono(µg/m³);As(ng/m³);Pb(µg/m³);BaP(ng/m³);Cd(ng/m³)
14/10/2016;;11;26;10;;43;35;;;0,08;
15/10/2016;;12;30;;;48;43;;;;
16/10/2016;3;9;26;17;;39;50;;;;
17/10/2016;3;13;30;31;3,4;49;53;0,42;0,01;;0,33
18/10/2016;3;19;43;25;;73;23;;;;
19/10/2016;3;17;36;24;;62;32;;;;
20/10/2016;3;25;42;;;79;15;;;;
21/10/2016;3;17;37;;;63;29;;;;
22/10/2016;3;12;29;;;47;32;;;;
23/10/2016;3;12;26;;;43;28;;;;
24/10/2016;3;21;38;;;70;17;;;;
25/10/2016;3;43;46;;;111;9;;;;
26/10/2016;3;39;43;;;102;9;;;;
27/10/2016;3;34;37;;;89;22;;;;
28/10/2016;4;37;50;38;;107;22;;;;
29/10/2016;3;24;37;31;2,82;74;27;0,97;0,01;;0,1
30/10/2016;3;17;33;;;59;29;;;;
31/10/2016;3;23;46;;;81;34;;;;
01/11/2016;3;18;39;27;4,62;67;40;0,56;0,01;;0,1
02/11/2016;4;64;62;41;;160;18;;;;
03/11/2016;4;55;54;43;5,33;138;16;1,11;0,01;;0,18
04/11/2016;3;50;56;44;;133;9;;;;
05/11/2016;3;8;11;11;1,57;22;49;0,28;0,01;;0,06
06/11/2016;3;4;9;2;;16;59;;;;
07/11/2016;3;23;38;13;;72;29;;;;
08/11/2016;3;13;27;;1,71;46;35;0,14;0,01;;0,04
09/11/2016;3;10;21;13;;37;38;;;;
10/11/2016;3;37;46;;;104;19;;;;
11/11/2016;3;40;45;;;107;20;;;;
12/11/2016;3;24;39;;;75;20;;;;
13/11/2016;3;23;37;;;72;23;;;;
14/11/2016;3;25;42;;;80;19;;;;
15/11/2016;3;34;43;22;;95;26;;;;
16/11/2016;4;37;45;;;102;23;;;;
17/11/2016;3;60;58;31;3,26;150;15;0,56;0,01;;0,21
18/11/2016;4;62;57;32;3,4;152;14;0,56;0,01;;0,58
19/11/2016;3;40;43;28;;104;18;;;;
20/11/2016;3;10;16;13;2,99;30;44;0,28;0,01;;0,06
21/11/2016;3;46;44;12;2,29;114;10;0,42;0,01;;0,17
22/11/2016;3;31;44;8;;92;11;;;;
23/11/2016;3;20;34;7;0,35;65;16;0,14;0,01;;0,06
24/11/2016;3;17;27;;;53;27;;;;
25/11/2016;3;26;36;15;;76;26;;;;
26/11/2016;3;31;40;;;88;24;;;;
27/11/2016;3;11;21;11;;38;44;;;;
28/11/2016;3;58;57;;;146;17;;;;
29/11/2016;3;26;41;16;;82;14;;;;
30/11/2016;3;14;28;20;;50;42;;;;
01/12/2016;4;50;47;;;123;28;;;;
02/12/2016;4;75;56;;;171;9;;;;
03/12/2016;3;27;31;;;73;14;;;;
04/12/2016;3;11;25;13;;41;46;;;;
05/12/2016;3;11;22;18;;39;54;;;;
06/12/2016;3;30;34;;;80;30;;;;
07/12/2016;3;55;52;25;;136;11;;;;
08/12/2016;3;25;38;;;76;26;;;;
09/12/2016;3;49;52;24;;126;16;;;;
10/12/2016;3;35;36;;;90;18;;;;
11/12/2016;3;43;38;;;104;11;;;;
12/12/2016;4;56;38;;;123;11;;;;
13/12/2016;3;64;48;;;147;8;;;;
14/12/2016;3;68;52;;;156;10;;;;
15/12/2016;4;61;54;;;148;6;;;;
20/12/2016;3;21;40;;;72;19;;;;
21/12/2016;4;47;53;;;126;13;;;;
22/12/2016;5;72;59;;;169;16;;;;
23/12/2016;4;57;52;;;138;9;;;;
24/12/2016;3;41;40;;;104;12;;;;
25/12/2016;3;26;28;;;66;16;;;;
26/12/2016;3;46;40;;;110;11;;;;
27/12/2016;4;87;53;;;186;9;;;;
28/12/2016;4;61;49;;;143;12;;;;
29/12/2016;4;50;48;;;125;10;;;;
30/12/2016;3;43;45;;;111;15;;;;
31/12/2016;3;23;37;;;73;18;;;;
01/01/2017;3;14;23;;;44;24;;;;
02/01/2017;4;59;48;;;139;12;;;;
03/01/2017;6;119;69;;;251;4;;;;
04/01/2017;5;81;52;;;177;12;;;;
05/01/2017;4;42;45;;;109;13;;;;
06/01/2017;3;31;36;;;83;20;;;;
07/01/2017;4;40;40;33;;101;12;;;0,28;
08/01/2017;3;29;30;27;0,73;75;14;0,7;0,01;;0,14
09/01/2017;4;50;46;36;1,43;122;14;0,7;0,01;;0,28
10/01/2017;3;18;28;19;;55;30;;;;
11/01/2017;4;42;41;26;;105;38;;;;
12/01/2017;4;48;34;;;107;17;;;;
13/01/2017;3;10;18;12;;34;46;;;;
14/01/2017;3;4;8;6;0,45;14;67;0,01;0,01;;0,06
15/01/2017;3;3;6;3;;10;69;;;0,01;
16/01/2017;3;9;15;11;;28;56;;;0,08;
17/01/2017;3;11;21;;;38;52;;;;
18/01/2017;4;25;37;19;;75;29;;;;
19/01/2017;3;10;21;23;0,98;36;48;0,28;0,01;;0,06
20/01/2017;3;17;35;10;;60;39;;;;
21/01/2017;3;5;8;;;16;73;;;;
22/01/2017;3;7;18;12;;29;61;;;;
23/01/2017;4;32;46;;;95;24;;;;
24/01/2017;4;45;46;30;;114;16;;;0,37;
25/01/2017;4;31;42;26;;90;25;;;;
26/01/2017;3;31;43;40;2,11;90;26;0,56;0,01;;0,22
27/01/2017;3;18;34;27;1,96;61;44;0,42;0,01;;0,21
28/01/2017;3;19;26;13;;56;47;;;;
29/01/2017;3;10;18;16;;32;38;;;;
30/01/2017;5;63;49;;;145;16;;;;
31/01/2017;5;91;50;51;;189;12;;;;
01/02/2017;3;55;49;41;;134;10;;;0,19;
02/02/2017;3;17;29;;;55;34;;;;
03/02/2017;3;10;14;23;;28;62;;;;
04/02/2017;3;7;3;;;13;78;;;;
05/02/2017;3;6;2;8;;10;86;;;;
06/02/2017;3;15;20;;;43;58;;;;
07/02/2017;3;11;15;16;;31;45;;;;
08/02/2017;3;7;14;29;;24;77;;;;
09/02/2017;4;15;35;;;58;55;;;;
10/02/2017;3;26;46;;;85;36;;;;
11/02/2017;3;7;22;;;33;66;;;;
12/02/2017;3;6;19;58;;28;69;;;;
13/02/2017;3;13;32;;;52;45;;;;
14/02/2017;3;39;48;;;108;24;;;;
15/02/2017;3;25;44;;;82;24;;;;
16/02/2017;4;41;44;;;106;26;;;;
17/02/2017;4;44;47;;;115;19;;;;
18/02/2017;3;23;35;;;70;36;;;;
19/02/2017;3;12;30;;;48;62;;;;
20/02/2017;4;40;48;;;108;33;;;;
21/02/2017;4;36;51;;;106;29;;;;
22/02/2017;5;62;67;;;162;14;;;;
23/02/2017;4;43;55;;;121;15;;;;
24/02/2017;3;35;46;;;99;15;;;;
28/02/2017;3;6;19;;;29;54;;;;
01/03/2017;3;14;33;;;53;43;;;;
02/03/2017;4;44;50;;;117;27;;;;
03/03/2017;3;40;40;;;101;43;;;;
04/03/2017;3;2;10;;;13;76;;;;
05/03/2017;3;3;12;;;16;56;;;;
06/03/2017;3;10;25;;;40;47;;;;
07/03/2017;3;22;32;;;66;42;;;;
08/03/2017;4;25;43;;;81;38;;;;
09/03/2017;3;46;60;;;130;26;;;;
10/03/2017;3;36;55;;;110;36;;;;
11/03/2017;3;33;47;;;97;31;;;;
12/03/2017;3;12;27;;;45;61;;;;
13/03/2017;3;11;26;;;43;63;;;;
14/03/2017;3;11;31;;;48;72;;;;
15/03/2017;3;33;48;;;98;52;;;;
16/03/2017;3;23;48;;;83;48;;;;
17/03/2017;3;17;41;;;67;54;;;;
18/03/2017;3;19;48;;;77;51;;;;
19/03/2017;4;19;46;;;75;46;;;;
20/03/2017;5;22;44;;;78;53;;;;
21/03/2017;4;32;42;;;90;52;;;;
22/03/2017;3;6;21;;;31;62;;;;
23/03/2017;3;3;13;;;18;82;;;;
24/03/2017;5;11;31;;;48;58;;;;
27/03/2017;4;11;27;;;44;77;;;;
28/03/2017;5;27;42;;;83;43;;;;
29/03/2017;5;18;37;;;64;61;;;;
30/03/2017;7;32;42;;;90;56;;;;
31/03/2017;6;25;43;;;82;57;;;;
01/04/2017;6;10;32;;;47;53;;;;
02/04/2017;5;8;24;;;36;64;;;;
03/04/2017;6;16;37;;;61;52;;;;
04/04/2017;7;32;50;;;100;45;;;;
05/04/2017;6;35;47;;;101;38;;;;
06/04/2017;5;19;37;;;66;57;;;;
07/04/2017;6;25;49;;;87;53;;;;
08/04/2017;5;12;31;;;49;81;;;;
09/04/2017;6;8;26;;;38;75;;;;
11/04/2017;8;32;51;;;100;42;;;;
12/04/2017;6;23;43;;;78;51;;;;
13/04/2017;6;17;41;;;67;57;;;;
14/04/2017;5;12;29;;;47;77;;;;
15/04/2017;7;8;30;;;42;77;;;;
16/04/2017;4;6;18;;;27;74;;;;
17/04/2017;3;9;20;;;34;58;;;;
18/04/2017;5;14;29;;;49;58;;;;
19/04/2017;4;8;25;;;37;78;;;;
20/04/2017;5;8;24;;;36;84;;;;
21/04/2017;6;14;33;;;55;72;;;;
22/04/2017;4;6;21;;;31;87;;;;
23/04/2017;4;8;24;;;36;77;;;;
24/04/2017;6;9;27;;;41;74;;;;
25/04/2017;3;20;44;;;74;47;;;;
26/04/2017;4;19;30;;;59;53;;;;
27/04/2017;4;15;36;;;59;36;;;;
28/04/2017;5;12;30;;;48;54;;;;
29/04/2017;3;9;26;;;40;66;;;;
30/04/2017;3;4;10;;;16;75;;;;
01/05/2017;6;4;13;;;19;88;;;;
02/05/2017;6;17;28;;;54;67;;;;
03/05/2017;5;13;25;;;45;72;;;;
04/05/2017;4;11;24;;;40;66;;;;
05/05/2017;3;11;27;;;43;67;;;;
06/05/2017;4;4;13;;;19;80;;;;
07/05/2017;6;12;29;;;47;61;;;;
08/05/2017;7;19;31;;;59;69;;;;
09/05/2017;6;11;24;;;40;76;;;;
10/05/2017;4;14;26;;;47;72;;;;
11/05/2017;4;4;13;;;19;80;;;;
12/05/2017;4;4;11;;;17;75;;;;
13/05/2017;5;3;10;;;15;75;;;;
14/05/2017;5;6;18;;;27;74;;;;
15/05/2017;6;20;39;;;69;42;;;;
16/05/2017;7;24;45;;;83;34;;;;
17/05/2017;9;24;47;;;85;40;;;;
18/05/2017;5;20;42;;;73;46;;;;
19/05/2017;4;;;;;;62;;;;
20/05/2017;3;;;;;;76;;;;
21/05/2017;3;;;;;;75;;;;
22/05/2017;3;;;;;;72;;;;
23/05/2017;3;;;;;;63;;;;
24/05/2017;4;;;;;;47;;;;
25/05/2017;3;;;;;;70;;;;
26/05/2017;3;;;;;;72;;;;
27/05/2017;3;;;;;;78;;;;
28/05/2017;3;;;;;;86;;;;
29/05/2017;3;5;49;;;56;74;;;;
30/05/2017;3;7;46;;;57;66;;;;
31/05/2017;3;4;35;;;41;62;;;;
01/06/2017;3;15;40;30;7,42;62;57;0,56;0,01;;0,32
02/06/2017;3;7;34;31;;44;53;;;;
03/06/2017;3;1;25;29;;27;60;;;0,04;
04/06/2017;3;1;20;;;22;60;;;;
05/06/2017;3;4;30;14;;37;51;;;;
06/06/2017;3;4;37;;;43;57;;;;
07/06/2017;3;6;29;28;;39;57;;;;
08/06/2017;3;4;30;31;6,03;35;59;0,28;0,01;;0,03
09/06/2017;3;2;31;29;;34;59;;;;
10/06/2017;4;1;28;25;7,97;30;56;0,28;0,01;;0,04
11/06/2017;3;1;30;21;;31;61;;;0,04;
12/06/2017;4;13;49;25;;69;43;;;0,09;
13/06/2017;4;4;54;;;61;42;;;;
14/06/2017;3;2;52;;;55;54;;;;
15/06/2017;3;1;48;;;49;69;;;;
16/06/2017;4;1;41;;;43;57;;;;
17/06/2017;3;1;32;;;34;69;;;;
18/06/2017;3;1;20;;;21;90;;;;
19/06/2017;3;1;37;;;39;65;;;;
20/06/2017;3;1;33;;;35;68;;;;
21/06/2017;3;1;33;;;35;67;;;;
22/06/2017;3;1;43;;;45;55;;;;
23/06/2017;4;1;38;;;40;72;;;;
24/06/2017;3;1;26;;;27;74;;;;
25/06/2017;3;1;15;;;16;72;;;;
26/06/2017;3;1;29;48;;31;65;;;;
27/06/2017;3;1;34;;;35;60;;;;
28/06/2017;3;1;14;;;16;64;;;;
29/06/2017;3;1;17;;;19;86;;;;
30/06/2017;4;1;28;24;;30;76;;;;
01/07/2017;3;1;23;37;19,86;24;64;0,28;0,01;;0,17
02/07/2017;3;1;19;26;;21;55;;;;
03/07/2017;3;5;35;26;;43;46;;;;
04/07/2017;3;5;33;;;41;45;;;;
05/07/2017;3;4;33;25;;39;44;;;;
06/07/2017;3;3;34;33;;38;46;;;0,04;
07/07/2017;3;2;32;;;36;52;;;;
08/07/2017;3;1;20;37;7,64;22;71;0,42;0,01;;0,08
09/07/2017;3;1;21;27;;23;94;;;;
10/07/2017;3;7;37;;;48;64;;;;
11/07/2017;3;3;27;36;;32;67;;;;
12/07/2017;3;6;35;34;;44;53;;;;
13/07/2017;3;2;28;;;32;50;;;;
14/07/2017;3;1;22;35;8,04;24;51;0,28;0,01;;0,04
15/07/2017;3;1;16;;;18;67;;;;
16/07/2017;3;1;17;28;7,76;19;72;0,28;0,01;;0,04
17/07/2017;3;1;25;39;;27;71;;;;
18/07/2017;3;1;21;40;;23;86;;;;
19/07/2017;3;1;21;45;13,74;23;86;0,42;0,01;;0,1
20/07/2017;3;1;23;49;;25;76;;;;
21/07/2017;3;1;21;36;;23;79;;;;
22/07/2017;3;1;17;38;13,32;19;77;0,42;0,01;;0,1
23/07/2017;3;1;14;;;16;82;;;;
24/07/2017;3;1;20;;;22;;;;;
25/07/2017;3;1;23;21;6,1;24;;0,14;0,01;;0,07
26/07/2017;4;1;28;34;;29;;;;;
27/07/2017;4;1;27;47;16,1;29;54;0,42;0,01;;0,08
28/07/2017;4;1;20;40;;21;55;;;;
29/07/2017;4;1;18;32;9,15;20;54;0,42;0,01;;0,1
30/07/2017;4;1;15;32;;16;60;;;;
31/07/2017;4;1;16;;;18;61;;;;
01/08/2017;4;1;26;;;28;52;;;;
02/08/2017;4;1;37;49;9,29;39;36;0,56;0,01;;0,11
03/08/2017;3;1;44;;;46;45;;;;
04/08/2017;3;1;39;43;9,43;41;45;0,56;0,01;;1
05/08/2017;3;1;25;33;;26;58;;;;
06/08/2017;3;1;12;;;14;58;;;;
07/08/2017;3;1;23;;;25;51;;;;
08/08/2017;3;1;23;;;25;56;;;;
09/08/2017;3;1;15;;;17;71;;;;
10/08/2017;3;1;18;;;20;65;;;;
11/08/2017;3;1;26;;;28;55;;;;
12/08/2017;3;1;15;;;16;73;;;;
13/08/2017;3;1;14;;;16;72;;;;
14/08/2017;3;1;22;;;24;62;;;;
15/08/2017;3;1;16;;;18;63;;;;
16/08/2017;3;2;25;;;28;53;;;;
17/08/2017;3;1;20;;;22;67;;;;
18/08/2017;3;1;22;;;24;62;;;;
19/08/2017;3;1;17;;;19;65;;;;
20/08/2017;3;1;14;;;16;63;;;;
21/08/2017;3;1;25;;;27;46;;;;
22/08/2017;3;1;28;;;29;46;;;;
23/08/2017;3;1;25;;;27;47;;;;
24/08/2017;3;1;23;;;25;53;;;;
25/08/2017;3;1;29;;;31;50;;;;
26/08/2017;3;1;20;;;22;46;;;;
27/08/2017;3;1;18;;;20;45;;;;
28/08/2017;3;1;30;;;32;30;;;;
29/08/2017;3;1;36;;;38;19;;;;
30/08/2017;3;1;22;;;24;38;;;;
31/08/2017;3;1;34;;;36;36;;;;
01/09/2017;3;1;29;18;;31;43;;;;
02/09/2017;3;1;20;14;;22;54;;;0,04;
03/09/2017;3;1;20;;;22;49;;;;
04/09/2017;3;1;32;;;34;45;;;;
05/09/2017;3;1;28;;;29;53;;;;
06/09/2017;4;1;37;;;39;28;;;;
07/09/2017;3;1;30;21;4,22;32;31;0,28;0,01;;0,07
08/09/2017;3;;;;;;36;;;;
09/09/2017;3;;;;;;38;;;;
10/09/2017;3;;;;;;38;;;;
11/09/2017;3;;;;;;40;;;;
12/09/2017;4;;;30;17;;27;0,42;0,01;;0,33
13/09/2017;3;;;;;;34;;;;
14/09/2017;3;;;31;9,1;;43;0,56;0,01;;0,25
15/09/2017;3;2;15;;;18;40;;;;
16/09/2017;3;2;16;14;7,56;18;37;0,14;0,01;;0,08
17/09/2017;3;2;13;;;15;49;;;;
18/09/2017;3;5;21;;;29;36;;;;
19/09/2017;3;5;22;;;29;40;;;;
20/09/2017;3;3;20;23;;24;43;;;;
21/09/2017;3;8;23;;;35;41;;;;
22/09/2017;3;9;25;;;38;36;;;;
23/09/2017;3;2;19;20;;21;41;;;;
24/09/2017;3;2;16;28;;19;43;;;;
25/09/2017;3;10;22;;;36;49;;;;
26/09/2017;3;3;17;21;;21;51;;;;
27/09/2017;3;9;23;;;37;38;;;;
28/09/2017;;;;;;;41;;;;
29/09/2017;;12;42;25;;61;37;;;;
30/09/2017;;5;30;;;38;49;;;;
01/10/2017;3;4;31;18;;37;45;;;;
02/10/2017;3;12;37;;;55;28;;;;
03/10/2017;3;15;33;24;;55;27;;;;
04/10/2017;3;17;33;18;;58;27;;;;
05/10/2017;3;19;41;33;;70;16;;;0,11;
06/10/2017;4;30;53;38;19,37;99;20;0,97;0,01;;0,35
07/10/2017;3;6;34;29;5,9;44;20;0,69;0,01;;0,06
08/10/2017;3;5;28;20;;35;30;;;;
09/10/2017;3;6;25;20;;34;37;;;;
10/10/2017;3;15;36;24;4,24;59;38;0,56;0,01;;0,26
11/10/2017;3;15;37;22;;59;37;;;;
12/10/2017;3;6;30;30;4,65;39;40;0,42;0,01;;0,06
13/10/2017;4;10;39;31;;54;41;;;0,04;
14/10/2017;4;7;36;28;5,76;46;38;0,42;0,01;;0,07
15/10/2017;3;6;33;22;;43;30;;;;
16/10/2017;3;23;45;;;80;27;;;;
17/10/2017;3;11;37;22;;54;38;;;;
18/10/2017;3;17;40;19;;65;24;;;;
19/10/2017;3;15;42;10;2,19;64;22;0,28;0,01;;0,14
20/10/2017;3;15;46;17;9,27;69;24;0,42;0,01;;0,07
21/10/2017;4;12;35;15;;53;23;;;0,08;
22/10/2017;4;8;36;21;;49;23;;;;
23/10/2017;4;14;41;20;9,55;63;22;0,42;0,01;;0,13
24/10/2017;5;26;53;28;;93;19;;;;
25/10/2017;6;64;75;41;8,59;173;12;0,97;0,01;;0,24
26/10/2017;5;42;64;41;;129;18;;;;
27/10/2017;5;34;63;34;;115;19;;;;
28/10/2017;4;11;43;24;5,38;60;25;0,42;0,01;;0,13
29/10/2017;4;12;37;20;;55;24;;;0,04;
30/10/2017;4;23;50;;;85;17;;;;
31/10/2017;3;12;40;;;58;23;;;;
01/11/2017;3;10;31;17;;47;25;;;;
02/11/2017;4;22;42;24;4,49;76;14;0,42;0,01;;0,53
03/11/2017;4;30;45;27;;91;19;;;;
04/11/2017;3;5;17;12;2,26;24;29;0,42;0,01;;0,06
05/11/2017;3;3;9;7;;13;46;;;;
06/11/2017;3;5;13;12;;20;;;;;
07/11/2017;4;18;34;20;;61;;;;0,15;
08/11/2017;4;17;35;17;2,68;61;38;0,28;0,01;;0,11
09/11/2017;4;16;33;17;2,12;58;44;0,14;0,01;;0,36
10/11/2017;4;39;54;24;;114;25;;;;
11/11/2017;4;15;34;16;8,24;57;;0,14;0,01;;0,08
12/11/2017;5;8;24;14;;35;;;;;
13/11/2017;4;4;19;;;24;;;;;
14/11/2017;3;19;37;27;;66;34;;;;
15/11/2017;6;78;88;47;;207;20;;;0,42;
16/11/2017;5;45;60;44;6,82;128;25;0,69;0,02;;1,5
17/11/2017;5;50;71;87;13,07;147;28;1,67;0,01;;0,25
18/11/2017;4;25;57;52;;95;24;;;;
19/11/2017;4;9;33;43;25,43;47;42;0,83;0,01;;0,18
20/11/2017;5;41;57;44;8,49;120;24;1,25;0,01;;0,31
21/11/2017;6;64;70;73;;167;16;;;;
22/11/2017;5;62;68;53;19,19;162;17;0,83;0,01;;0,44
23/11/2017;6;78;67;36;;186;15;;;0,3;
24/11/2017;6;63;65;41;;161;17;;;;
25/11/2017;4;19;35;20;10,72;64;29;0,28;0,01;;0,06
26/11/2017;3;15;28;22;;50;37;;;;
27/11/2017;4;31;49;36;16;97;25;0,56;0,01;;0,47
28/11/2017;4;39;53;21;;113;17;;;;
29/11/2017;3;31;50;19;;97;12;;;;
30/11/2017;4;27;42;;;83;25;;;;
01/12/2017;5;5;18;9;;25;47;;;0,08;
02/12/2017;;2;7;9;2,79;10;62;0,14;0,01;;0,03
03/12/2017;;7;21;9;;31;46;;;;
04/12/2017;8;45;44;29;;114;22;;;;
05/12/2017;9;49;38;39;3,49;113;19;0,7;0,01;;0,32
06/12/2017;7;20;29;34;;60;26;;;;
07/12/2017;7;40;42;46;10,72;103;19;0,83;0,01;;0,28
08/12/2017;4;21;29;28;;62;20;;;;
09/12/2017;3;10;18;31;;33;24;;;0,32;
10/12/2017;3;;;18;17,65;;53;0,28;0,01;;0,06
11/12/2017;3;2;6;11;9,89;8;58;0,14;0,01;;0,07
12/12/2017;4;20;24;19;;53;25;;;;
13/12/2017;5;13;16;14;;36;28;;;;
14/12/2017;3;2;3;13;7,39;5;45;0,14;0,01;;0,04
15/12/2017;3;7;11;11;9,75;22;41;0,14;0,01;;0,11
16/12/2017;4;11;16;10;;32;38;;;;
17/12/2017;5;20;21;13;;51;41;;;0,29;
18/12/2017;6;23;25;18;;60;23;;;0,32;
19/12/2017;4;29;32;47;;75;28;;;;
20/12/2017;6;33;31;;;81;15;;;;
21/12/2017;5;24;29;41;8,08;66;20;0,83;0,01;;0,28
22/12/2017;9;79;43;29;;163;14;;;;
23/12/2017;5;29;26;25;7,8;71;14;0,7;0,01;;0,1
24/12/2017;4;18;15;24;;42;22;;;;
25/12/2017;5;15;14;18;6,41;37;27;0,28;0,01;;0,24
26/12/2017;3;;;24;;;51;;;0,04;
27/12/2017;4;7;6;;;15;59;;;;
28/12/2017;5;17;17;;;41;39;;;;
29/12/2017;5;18;16;;;44;27;;;;
30/12/2017;3;7;3;;;11;43;;;;
31/12/2017;3;;;;;;45;;;;
01/01/2018;4;;;19;9,12;;68;0,28;0,01;;0,08
02/01/2018;4;7;6;;;15;50;;;;
03/01/2018;5;4;10;;;16;37;;;;
04/01/2018;5;3;9;;;13;41;;;;
05/01/2018;4;4;16;23;;21;43;;;;
06/01/2018;5;8;25;18;;37;28;;;0,1;
07/01/2018;5;6;18;12;6,61;27;44;0,14;0,01;;0,03
08/01/2018;6;22;36;28;5,22;70;21;0,42;0,01;;0,38
09/01/2018;4;6;19;15;;28;35;;;;
10/01/2018;3;5;16;12;;23;47;;;;
11/01/2018;4;5;18;12;4,87;26;53;0,01;0,01;;0,01
12/01/2018;5;9;28;15;;42;32;;;;
13/01/2018;5;8;27;22;6,67;39;30;0,28;0,01;;0,13
14/01/2018;5;12;21;;;40;45;;;;
15/01/2018;6;12;27;;;45;33;;;;
16/01/2018;4;3;14;14;5,56;19;46;0,28;0,01;;0,04
17/01/2018;5;26;35;27;;75;29;;;;
18/01/2018;6;23;40;36;21,67;75;26;0,42;0,01;;0,29
19/01/2018;6;39;44;40;;103;21;;;;
20/01/2018;4;6;17;16;4,58;25;44;0,14;0,01;;0,06
21/01/2018;4;3;12;11;;16;48;;;;
22/01/2018;5;12;25;21;10,42;44;27;0,28;0,01;;0,07
23/01/2018;8;32;35;;;83;21;;;;
24/01/2018;7;25;36;39;;73;22;;;;
25/01/2018;4;9;26;;;39;24;;;;
26/01/2018;4;11;26;;;43;29;;;;
27/01/2018;4;10;20;14;;34;39;;;;
28/01/2018;4;2;7;22;;10;55;;;;
29/01/2018;8;46;50;;;120;25;;;;
30/01/2018;9;58;60;34;;149;22;;;;
31/01/2018;6;34;58;;;110;29;;;;
01/02/2018;6;26;50;24;2,9;89;25;0,28;0,01;;0,36
02/02/2018;7;19;40;12;;69;43;;;;
03/02/2018;6;7;23;7;1,1;34;58;0,14;0,01;;0,04
04/02/2018;5;16;32;;;56;40;;;;
05/02/2018;5;19;45;14;4,99;74;30;0,56;0,01;;0,19
06/02/2018;6;19;41;7;;70;33;;;;
07/02/2018;6;22;44;11;;78;36;;;0,24;
08/02/2018;6;30;43;16;2,35;89;41;0,28;0,01;;0,33
09/02/2018;6;24;48;19;;84;43;;;;
10/02/2018;6;9;30;10;1,65;44;62;0,14;0,01;;0,01
11/02/2018;6;7;25;5;;35;50;;;;
12/02/2018;6;20;47;17;;78;33;;;;
13/02/2018;7;15;34;12;2,89;57;47;0,28;0,01;;0,13
14/02/2018;3;4;22;10;;28;49;;;;
15/02/2018;4;19;39;24;15,67;68;35;0,28;0,01;;0,11
16/02/2018;8;65;58;45;;156;19;;;0,19;
17/02/2018;5;26;44;34;5,39;84;22;0,69;0,01;;0,08
18/02/2018;3;10;26;13;;41;49;;;;
19/02/2018;5;31;43;;;90;29;;;;
20/02/2018;3;11;33;;;50;37;;;;
21/02/2018;3;12;37;;;56;39;;;;
22/02/2018;5;20;46;;;77;35;;;;
23/02/2018;6;26;52;;;91;38;;;;
24/02/2018;4;9;40;;;53;51;;;;
25/02/2018;3;7;37;;;47;52;;;;
26/02/2018;5;52;61;;;141;36;;;;
27/02/2018;3;8;33;;;46;47;;;;
28/02/2018;3;20;55;;;85;30;;;;
01/03/2018;3;;;37;;;23;;;;
02/03/2018;3;13;41;20;;61;38;;;;
03/03/2018;3;;;16;3,18;;55;0,14;0,01;;0,06
04/03/2018;3;;;15;;;50;;;0,04;
05/03/2018;3;;;7;;;65;;;0,04;
06/03/2018;5;;;8;;;68;;;;
07/03/2018;5;5;33;9;;41;51;;;;
08/03/2018;3;16;55;19;7,82;79;36;0,28;0,01;;0,14
09/03/2018;3;10;40;17;;55;46;;;;
10/03/2018;3;9;33;18;0,35;47;49;2,5;0,01;;0,14
11/03/2018;3;2;9;13;;12;82;;;;
12/03/2018;4;3;21;10;;26;71;;;;
13/03/2018;5;8;42;23;;54;49;;;0,04;
14/03/2018;3;26;62;30;8,64;101;30;0,42;0,01;;0,14
15/03/2018;3;3;22;13;4,75;27;75;0,14;0,01;;0,04
16/03/2018;3;4;24;9;;29;69;;;;
17/03/2018;3;3;15;12;4,19;19;73;0,14;0,01;;0,03
18/03/2018;3;3;24;10;;29;64;;;;
19/03/2018;3;3;22;15;5,03;26;64;0,28;0,01;;0,04
20/03/2018;3;7;24;10;;34;73;;;;
21/03/2018;4;14;49;8;;70;61;;;0,04;
22/03/2018;3;22;57;25;2,83;91;58;0,28;0,01;;0,14
23/03/2018;3;8;34;17;3,81;46;62;0,28;0,01;;0,04
24/03/2018;3;4;14;12;;19;79;;;;
25/03/2018;4;4;28;18;;34;65;;;;
26/03/2018;4;16;49;22;;73;50;;;;
27/03/2018;4;19;67;;;97;42;;;;
28/03/2018;3;10;41;;;57;45;;;;
29/03/2018;3;5;24;;;31;55;;;;
30/03/2018;3;2;10;27;;12;88;;;;
31/03/2018;3;2;14;;;17;87;;;;
01/04/2018;4;5;28;43;;36;72;;;;
02/04/2018;4;4;36;23;12,08;42;70;0,28;0,01;;0,04
03/04/2018;4;22;43;20;;78;51;;;;
04/04/2018;4;3;19;13;;23;76;;;;
05/04/2018;5;12;45;19;5,56;62;58;0,14;0,01;;0,04
06/04/2018;4;17;46;25;;72;60;;;0,04;
07/04/2018;3;4;28;27;0,04;35;69;2,08;0,01;;0,28
08/04/2018;4;2;15;7;;18;71;;;;
09/04/2018;3;2;14;10;;17;86;;;;
10/04/2018;5;7;36;11;2,08;47;68;0,14;0,01;;0,01
11/04/2018;3;3;19;8;;24;84;;;;
12/04/2018;3;3;21;10;2,51;25;79;0,28;0,01;;0,03
13/04/2018;4;7;37;21;;47;76;;;;
14/04/2018;4;7;39;25;;50;66;;;0,04;
15/04/2018;3;4;24;17;2,1;30;64;0,14;0,01;;0,03
16/04/2018;5;5;33;12;4,04;41;69;0,14;0,01;;0,03
